bo_num,exp_pro,exp_vis,total_tra
186,9.112734547,8.517473453,35804
194,11.02342925,31.5043181,38838
9,3.53111891,2.998864065,1484
34,9.05758275,9.468667925,9638
38,11.46147118,19.49666379,11288
13,3.515267409,4.007205613,2534
124,1.580352278,16.0681431,40102
27,8.482891287,8.507525285,7453
63,11.76394057,19.59720086,17711
125,9.641916691,29.99551477,31927
148,12.43627117,62.0587225,36022
90,9.662046972,17.988604,26310
87,7.791098175,7.989688998,20501
183,8.500073838,27.95952932,40306
54,11.38621115,12.99453573,15042
64,9.080422233,18.07252005,20295
75,11.00097997,13.04751689,21267
139,3.543945043,7.013794541,32186
178,4.490601151,22.46757455,46244
46,12.68652384,5.496952202,9756
77,2.538313971,20.07348794,32294
132,4.461567762,50.53412306,41000
58,6.306229048,13.46667459,21268
191,12.68336926,26.95947986,37574
164,1.584082172,62.34186783,47977
61,12.73069107,5.006005792,11213
73,5.420770306,36.38653998,27870
96,12.43893113,35.93996733,26857
55,9.668714475,2,6013
23,7.074086043,2.497550288,3153
132,1.584562371,22.49000382,41131
19,8.506715698,9.517266379,4409
7,5.409582512,3.496128373,1291
80,11.38069166,22.45652382,24224
136,1.588072153,13.01565803,37758
156,8.476763305,54.95787021,41469
155,6.25562278,27.87075653,41322
54,1,15.96003594,27192
191,6.286588466,50.1714433,45100
134,4.483918202,15.52343944,35336
167,3.530359891,5.968105346,31781
145,9.634501276,53.54051347,38919
102,5.390691307,18.49276578,33274
175,7.073807879,11.02817491,36915
148,1,46.49970822,42679
36,9.112912995,11.48151675,10162
120,11.79379596,5.510903175,22851
110,5.402982853,33.02161403,36802
27,9.609318648,5.001968605,5406
133,5.417633302,35.52089254,39363
196,11.50041764,79.99932069,42126
41,10.58871187,5.50816448,8643
7,4.495394777,2,1021
75,11.40433003,37.03444869,22377
183,3.522132144,6.490845855,37202
54,12.12479556,19.99021578,14492
16,10.64392294,2.997273503,2484
8,3.517458641,2.503114527,1211
61,12.40988925,17.04635919,17007
133,10.14519648,23.55793375,33298
175,4.518710151,58.21757182,46795
128,11.03544978,31.61729826,32871
58,12.7079096,14.55281754,16962
36,3.527735007,3.501593023,5809
102,12.35057322,5.997340085,20120
15,9.604482643,7.026992093,3017
39,11.07674759,2.502414894,4992
26,9.637860753,2.999861387,3724
145,12.74626002,42.38136316,33934
186,12.4192872,10.46137243,38794
127,8.464104273,18.98176799,31972
153,11.8018087,66.66520052,33834
62,1.587050802,15.47155435,27000
135,9.612355991,48.57072678,36173
94,5.406254456,17.55968681,30286
106,9.076095857,53.47759002,30752
147,11.39119518,19.94825648,34605
7,3.517366338,2.501677155,1111
192,3.499476641,66.35212997,48447
91,12.38475495,10.51622754,21909
38,9.072507676,17.02088975,11934
10,9.048850834,3.50352394,1622
67,1,14.02906055,25954
11,6.277636125,2,1446
177,1,20.03728787,46750
198,12.69784999,51.90002047,41244
76,12.45119532,6.498580735,15561
97,12.40205576,14.47602535,24219
61,9.096052655,3.996154272,10436
60,5.428300116,14.48441205,21539
190,12.36907135,64.80055039,41452
81,8.437921336,36.14433867,25497
72,6.291390946,35.67639796,26238
160,3.527701342,48.70163263,44809
92,9.076989767,13.48692329,27642
117,1.580010831,24.02921159,41053
130,7.771306914,52.75845531,37334
35,9.665570011,6.007488682,7759
6,1,3.497400689,1168
200,12.36907135,64.80055039,41452
